trial_id,learning_rate,conv1d_strides,conv1d_filters,hidden_units,input_size,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,loss,error_to_signal,val_loss,val_error_to_signal,prediction_time
0042,0.0017503179849257852,11,15,75,137,3,0,1,0,0.011174137704074383,0.011173340491950512,0.01008006650954485,0.010082355700433254,50.14214189999984
0038,0.0013116681661809325,9,18,121,90,8,0,0,0,0.008949755690991879,0.008949804119765759,0.008976480923593044,0.008974677883088589,65.90830160000041
0041,0.0007967394249203055,7,21,65,123,3,0,1,0,0.012859126552939415,0.012858603149652481,0.011879750527441502,0.01188281737267971,63.69842119999976
0069,0.0007978549203583755,12,16,66,139,8,0,0,0,0.011103375814855099,0.011103196069598198,0.010854674503207207,0.010854256339371204,29.243946000000506
0066,0.0014624836934599252,3,15,58,87,8,3,1,1,0.01026147324591875,0.01026147324591875,0.009864677675068378,0.009865401312708855,147.50894470000003
0035,0.0041390595342131326,8,14,94,151,8,3,1,1,0.006112433038651943,0.006112345494329929,0.006444184575229883,0.0064436886459589005,78.6613570999998
0079,0.0007129239549612552,3,15,114,60,8,0,0,0,0.011785663664340973,0.011785660870373249,0.011547785252332687,0.011542241089046001,175.33486450000055
0046,0.005910910118254745,6,16,97,82,8,3,1,1,0.009240238927304745,0.009240022860467434,0.009034709073603153,0.009038465097546577,71.72691080000004
0064,0.0003704583453935305,12,16,107,119,3,0,1,0,0.028247876092791557,0.02824586257338524,0.025468600913882256,0.025482824072241783,38.12091869999995
0048,0.00011219250891876992,5,23,49,74,8,0,0,0,0.017188450321555138,0.01718837395310402,0.016710080206394196,0.016708625480532646,49.97831550000046
0044,0.005910910118254745,6,16,97,82,3,0,1,0,0.009791598655283451,0.009791746735572815,0.009457685984671116,0.009455468505620956,71.45975939999971
0072,0.0012272317028993447,9,18,79,95,3,0,1,0,0.012994539923965931,0.012994262389838696,0.012111753225326538,0.012111791409552097,46.200361400000475
0071,0.0005507636527648588,9,15,51,118,3,0,1,0,0.018197033554315567,0.018196359276771545,0.016107849776744843,0.01610727421939373,38.95375960000001
0081,0.0003245723031246938,6,19,119,106,3,0,1,0,0.02130746841430664,0.02130603976547718,0.017678985372185707,0.01768168993294239,94.01633179999953
0068,0.00018430988799359848,5,22,101,156,8,0,0,0,0.010204657912254333,0.010204260237514973,0.009856211952865124,0.009857234545052052,178.92227160000039
0036,0.006543006335883939,8,23,96,130,8,3,1,1,0.006499811075627804,0.006500020157545805,0.006719647906720638,0.0067169987596571445,77.33510419999948
0052,0.0001381941156312248,6,19,51,79,3,0,1,0,0.04201448708772659,0.04201345518231392,0.03374416008591652,0.033753715455532074,48.42350379999971
0073,0.0009146208704225965,9,23,75,115,3,0,1,0,0.013401246629655361,0.013401011005043983,0.012120041996240616,0.012122200801968575,48.08052500000031
0049,0.00023979789646601506,9,16,103,144,8,0,0,0,0.012889521196484566,0.012889415957033634,0.012473171576857567,0.012468132190406322,57.17468760000065
0075,0.00844891068431229,7,22,72,56,8,3,1,1,0.010923609137535095,0.010923588648438454,0.011190041899681091,0.011187353171408176,46.884416100000635
0095,0.0045087353342073,12,17,109,61,8,3,1,1,0.011764331720769405,0.011764713563024998,0.011667441576719284,0.011661163531243801,33.65055420000044
0053,0.00016825217239597876,5,19,42,83,3,0,1,0,0.03372836485505104,0.033726029098033905,0.02862817607820034,0.028627239167690277,55.55188180000005
0078,0.009943803078013987,8,19,78,67,8,0,0,0,0.009709781967103481,0.009709999896585941,0.009690689854323864,0.0096929045394063,45.0356541000001
0043,0.0012625922010351825,12,15,109,140,3,0,1,0,0.01616481877863407,0.016164500266313553,0.014383689500391483,0.014381421729922295,37.33465509999951
0055,0.0033634599074899556,11,17,101,59,8,3,1,1,0.012031986378133297,0.012031857855618,0.01221833098679781,0.012222682125866413,32.09384150000005
0080,0.0016288864664974797,7,18,44,89,3,0,1,0,0.012507305480539799,0.012507462874054909,0.012085997499525547,0.012087659910321236,36.3305534000001
0051,0.00016164873790817211,7,22,121,67,3,0,1,0,0.03356058895587921,0.03355855867266655,0.026975588873028755,0.02698201686143875,64.35993980000057
0091,0.0003723517832020787,7,14,41,137,3,0,1,0,0.024195821955800056,0.024194367229938507,0.019805369898676872,0.019800791516900063,45.85197310000058
0054,0.0005393732643469157,4,14,81,61,3,0,1,0,0.019477128982543945,0.01947649195790291,0.017706770449876785,0.017710600048303604,77.64827460000015
0109,0.006936536084698388,10,23,99,101,8,0,0,0,0.0074296980164945126,0.007429496385157108,0.007534440606832504,0.007533756084740162,56.826097400000435
0082,0.001344121154884341,6,14,78,144,3,0,1,0,0.009954401291906834,0.009954027831554413,0.009162596426904202,0.00916848611086607,77.65315250000003
0050,0.0033634599074899556,11,17,101,59,3,0,1,0,0.01316868606954813,0.013168366625905037,0.01308820117264986,0.013090681284666061,32.13384760000008
0084,0.0031487924958808525,4,19,111,122,3,0,1,0,0.008221969939768314,0.008222024887800217,0.007808210793882608,0.007807270623743534,205.81052980000004
0063,0.0019354155127066595,8,25,75,105,3,0,1,0,0.010753044858574867,0.010752611793577671,0.010042411275207996,0.010046600364148617,48.59769369999958
0096,0.0013587423592826974,11,13,126,74,8,3,1,1,0.013208003714680672,0.013207634910941124,0.013031580485403538,0.013029636815190315,37.140337900000304
0057,0.00030154797014856597,12,25,105,62,8,0,0,0,0.013623500242829323,0.013623517006635666,0.013617576099932194,0.013618241995573044,34.23071079999954
0110,0.0024174314667387863,10,24,106,129,3,0,1,0,0.008875718340277672,0.008875559084117413,0.008317435160279274,0.008317501284182072,59.6587969000002
0083,0.004306213731281972,4,15,69,117,3,0,1,0,0.008106167428195477,0.008106159046292305,0.008110873401165009,0.00810993928462267,137.37519199999952
0094,0.0013587423592826974,11,13,126,74,3,0,1,0,0.01576955057680607,0.0157688707113266,0.014279848895967007,0.014284834265708923,36.840028199999324
0060,0.00013337142889053942,11,21,80,71,3,0,1,0,0.048143062740564346,0.04813849553465843,0.036388445645570755,0.03638134151697159,28.87062320000041
0085,0.0031487924958808525,4,19,111,122,8,3,1,1,0.006798338145017624,0.006798390299081802,0.006488864775747061,0.0064883423037827015,203.91772670000046
0065,0.0019354155127066595,8,25,75,105,8,3,1,1,0.009063011966645718,0.009062675759196281,0.008920249529182911,0.008920653723180294,48.68704960000014
0058,0.00018637806828434848,5,12,114,151,8,0,0,0,0.012816824950277805,0.012816926464438438,0.012334082275629044,0.012337367981672287,175.5610915999996
0111,0.0019721491098115516,8,14,58,140,3,0,1,0,0.010045439004898071,0.010044862516224384,0.009210381656885147,0.009213870391249657,51.15748480000002
0104,0.0002041224826603666,4,21,126,55,3,0,1,0,0.03236355260014534,0.032362572848796844,0.028133874759078026,0.0281243696808815,120.5269918999993
0107,0.0001325561691316467,3,19,42,76,8,0,0,0,0.015176387503743172,0.01517653837800026,0.01488697063177824,0.014887399040162563,105.8746899000007
0067,0.0002472237403809782,6,18,93,121,8,0,0,0,0.010957648977637291,0.010957573540508747,0.010740791447460651,0.010744379833340645,92.4370942000005
0086,0.004306213731281972,4,15,69,117,8,3,1,1,0.007301605772227049,0.00730159692466259,0.006990960333496332,0.006989299785345793,128.47694429999956
0100,0.001187577274462532,4,15,64,98,3,0,1,0,0.011878048069775105,0.011877523735165596,0.011122488416731358,0.011130709201097488,105.03881490000094
0087,0.00013381452948593074,6,14,77,52,8,0,0,0,0.01783236488699913,0.017832530662417412,0.017361018806695938,0.017358969897031784,41.915079700000206
0059,0.000341627685690365,7,23,99,126,8,0,0,0,0.010002289898693562,0.010002347640693188,0.009641154669225216,0.009639204479753971,78.54992780000066
0113,0.0004996902435350934,5,24,56,50,3,0,1,0,0.016788924112915993,0.016787927597761154,0.015973638743162155,0.015983281657099724,37.256798499998695
0074,0.00844891068431229,7,22,72,56,3,0,1,0,0.011608241125941277,0.011608652770519257,0.0111696133390069,0.011166182346642017,41.741837399999895
0106,0.007136140594736352,4,23,91,52,8,3,1,1,0.011060116812586784,0.011060005985200405,0.010751312598586082,0.010749295353889465,91.59655920000114
0114,0.003517438788693305,7,14,99,151,3,0,1,0,0.007084337528795004,0.0070840707048773766,0.006847405340522528,0.006847381126135588,96.79906780000056
0125,0.007282286591355298,9,13,111,114,8,3,1,1,0.007486151996999979,0.007486465387046337,0.00732817780226469,0.007331306114792824,59.88084369999979
0088,0.0007373196097809678,11,23,64,111,8,0,0,0,0.011124402284622192,0.011124379932880402,0.010875662788748741,0.010873640887439251,30.246256799999173
0061,0.0004149131024185803,10,12,58,75,3,0,1,0,0.02533109486103058,0.025330787524580956,0.02254977822303772,0.02255263365805149,24.56922769999983
0089,0.0029985904666745577,10,12,50,142,8,0,0,0,0.007511951960623264,0.007512012496590614,0.0074955192394554615,0.007496500853449106,37.44397619999927
0116,0.0024174314667387863,10,24,106,129,8,3,1,1,0.00746638560667634,0.007466540671885014,0.007370502222329378,0.00737155694514513,61.343682899998385
0121,0.007282286591355298,9,13,111,114,3,0,1,0,0.00844679493457079,0.008446846157312393,0.008064569905400276,0.008065148256719112,59.06854000000021
0115,0.003517438788693305,7,14,99,151,8,3,1,1,0.006157776806503534,0.006158038042485714,0.005971136968582869,0.005971659440547228,98.80186350000076
0093,0.0002527422684332542,10,12,40,76,3,0,1,0,0.033559832721948624,0.033556900918483734,0.02802394889295101,0.028036223724484444,21.659024399999907
0076,0.0012272317028993447,9,18,79,95,8,3,1,1,0.010701046325266361,0.01070082001388073,0.01027771271765232,0.010278608649969101,60.359468700000434
0090,0.0045087353342073,12,17,109,61,3,0,1,0,0.01305515319108963,0.013055481016635895,0.012391923926770687,0.012395245023071766,33.619482699999935
0139,0.0016259305850231298,9,15,88,114,8,0,0,0,0.007937749847769737,0.00793759897351265,0.007871617563068867,0.007873105816543102,50.22937989999991
0097,0.006851781534735413,7,17,99,137,8,0,0,0,0.005737484898418188,0.005737318191677332,0.005693062208592892,0.005693502724170685,78.6272657999998
0123,0.006128566224626864,12,22,65,56,3,0,1,0,0.012790868990123272,0.01279060635715723,0.012448661029338837,0.012450897134840488,30.31010199999946
0128,0.001346159980483405,6,16,90,113,8,0,0,0,0.007823147810995579,0.007823253981769085,0.007652370724827051,0.007652756758034229,97.48441270000149
0118,0.0008428991425794564,5,25,115,51,8,0,0,0,0.012395765632390976,0.012395857833325863,0.012152126990258694,0.012148297391831875,99.88956419999886
0099,0.002930054222889065,7,16,119,61,8,0,0,0,0.010147321037948132,0.010147454217076302,0.010323920287191868,0.010320179164409637,61.31334179999976
0092,0.00037484460307308213,11,13,74,84,3,0,1,0,0.027319185435771942,0.027318835258483887,0.024719353765249252,0.02470753900706768,37.83110770000167
0077,0.0003156012514566262,5,20,65,150,8,0,0,0,0.008509726263582706,0.008509687148034573,0.008579052984714508,0.008581315167248249,107.04251979999935
0142,0.00021714970665428015,4,18,44,116,3,0,1,0,0.027408653870224953,0.02740614116191864,0.023162318393588066,0.02315976470708847,97.8174839000003
0130,0.0068898097824767164,4,26,103,142,3,0,1,0,0.006096240133047104,0.006096047814935446,0.005895046517252922,0.005896623246371746,231.62534919999962
0122,0.00029397733154084595,5,23,58,120,3,0,1,0,0.01788136549293995,0.01788012683391571,0.0156997162848711,0.015699831768870354,82.56026360000033
0127,0.0001378325842049927,11,18,60,92,8,0,0,0,0.019264528527855873,0.019264161586761475,0.018636144697666168,0.018631789833307266,27.14430949999951
0131,0.0010433012022792003,10,26,114,120,3,0,1,0,0.012524859048426151,0.012524223886430264,0.011348504573106766,0.011349482461810112,66.58891380000023
0098,0.0006654334507308442,8,22,50,50,8,0,0,0,0.013766695745289326,0.013766263611614704,0.013787283562123775,0.013791482895612717,23.89799049999965
0101,0.0001336490177695986,8,22,89,55,3,0,1,0,0.04873422533273697,0.04872894659638405,0.03638488054275513,0.03638458624482155,30.539266100000532
0144,0.00011893404711008536,4,24,48,89,3,0,1,0,0.03559360280632973,0.03559211641550064,0.030235009267926216,0.030230553820729256,91.16151560000071
0102,0.007136140594736352,4,23,91,52,3,0,1,0,0.011881633661687374,0.011882007122039795,0.01177285611629486,0.011774166487157345,95.38441020000027
0132,0.0008170013503065374,8,25,90,88,3,0,1,0,0.013729154132306576,0.013728921301662922,0.01256103441119194,0.012561779469251633,52.957237699998586
0126,0.006128566224626864,12,22,65,56,8,3,1,1,0.011997422203421593,0.011997663415968418,0.01200887467712164,0.012011239305138588,26.444931300000462
0129,0.0003951077223116398,8,14,41,107,8,0,0,0,0.011879106983542442,0.011878738179802895,0.011704468168318272,0.011707214638590813,35.14727119999952
0133,0.00020182582526346408,7,15,59,130,3,0,1,0,0.03570174053311348,0.03569985181093216,0.028092581778764725,0.028105126693844795,51.0343516999983
0103,0.001445187802781273,4,20,49,69,3,0,1,0,0.013444417156279087,0.013443753123283386,0.012626416981220245,0.012622271664440632,72.73069530000066
0112,0.00013810231232094894,4,17,97,118,3,0,1,0,0.035455454140901566,0.03545375540852547,0.031582385301589966,0.03158870339393616,176.7631266999997
0145,0.006461870339364741,3,17,120,97,8,3,1,1,0.0070868502371013165,0.0070867715403437614,0.007053439039736986,0.00705299386754632,305.1353338000008
0117,0.0002667405406844709,6,17,86,95,8,0,0,0,0.011956152506172657,0.01195626799017191,0.011734835803508759,0.011736590415239334,66.92906659999971
0160,0.0005411531797772889,9,13,62,142,3,0,1,0,0.019387705251574516,0.019386762753129005,0.017299789935350418,0.017309771850705147,42.30421000000024
0105,0.001187577274462532,4,15,64,98,8,3,1,1,0.010378367267549038,0.01037843618541956,0.009903385303914547,0.009905650280416012,104.80604849999872
0143,0.006461870339364741,3,17,120,97,3,0,1,0,0.009173572063446045,0.009173286147415638,0.00827191025018692,0.008269437588751316,293.9623419999989
0137,0.0011244542445332348,9,13,120,144,8,0,0,0,0.007472324185073376,0.0074721346609294415,0.007310532033443451,0.0073102544993162155,64.3007065999991
0154,0.00757190793082948,8,17,115,57,3,0,1,0,0.012697636149823666,0.012697597034275532,0.012754111550748348,0.012758402153849602,37.34824529999969
0135,0.0068898097824767164,4,26,103,142,8,3,1,1,0.005366010125726461,0.0053659542463719845,0.005337093956768513,0.005337370093911886,225.8214167999995
0119,0.003426975736449471,11,21,122,106,8,0,0,0,0.00882410816848278,0.008824075572192669,0.008636956103146076,0.008639863692224026,39.902401199999076
0161,0.00018682425489218886,10,19,105,72,3,0,1,0,0.03317686542868614,0.033175088465213776,0.026871636509895325,0.026867426931858063,33.85149910000109
0167,0.0001210483720178336,4,25,109,102,8,0,0,0,0.012975459918379784,0.012975158169865608,0.012546219862997532,0.012542683631181717,186.50162330000057
0108,0.0002960415900405778,9,24,40,81,8,0,0,0,0.013692888431251049,0.013693325221538544,0.013514585793018341,0.013516019098460674,24.17660920000162
0150,0.00046666457436384424,10,19,83,57,3,0,1,0,0.02116381749510765,0.021162958815693855,0.019062690436840057,0.019079934805631638,29.72153900000012
